query,title,channel,views,likes,comments,published,duration,video_id
作業用BGM 熱い,『Requiem for the Phonies』熱いゴスペルロックソング【freeBGM】聖なる銃弾と贖罪の賛歌、アニソン風Gothic Gospel Rock、ゴスペル×王道アニソン風J-Rock,【著作権フリーBGM】ぷるっと企画チャンネル,112,7,0,2026-06-27T14:00:03Z,PT3M45S,fEhh4pKfbrc
作業用BGM 熱い,『Requiem for the Phonies』熱いゴスペルロックソング【freeBGM】聖なる銃弾と贖罪の賛歌、アニソン風Gothic Gospel Rock、ゴスペル×王道アニソン風J-Rock,【著作権フリーBGM】ぷるっと企画チャンネル,247,5,0,2026-06-27T14:00:14Z,PT56S,vOjzto2BP_4
作業用BGM 熱い,【作業用BGM/ロックマンX】エックス・ゼロと共に駆け抜けた、忘れられない「名曲BGMランキング」TOP20！【ヒーロー・ワクワク編 / 字幕解説】,ゼックスのロックマンCH,1695,40,35,2026-06-27T09:00:32Z,PT22M45S,AXwfeGSLg3I
作業用BGM 熱い,🤘【#54】🤘Emotional Heavymetal Sounds #54 | 【重低音】切なくも熱いパワフルなヘビメタ | 作業用BGM,cheesy metalhead kid,79,1,0,2026-06-26T08:15:38Z,PT57M47S,PM0PUr_mTyQ
作業用BGM 熱い,『深紅の薔薇のように狂おしく』、男装の麗人の熱いシャンソンロックソング【オリジナル曲・freeBGM】×【シャンソン×激しいJ-ROCK】,【著作権フリーBGM】ぷるっと企画チャンネル,291,4,0,2026-06-26T07:00:33Z,PT1M,_xe_6aogxww
作業用BGM 熱い,『深紅の薔薇のように狂おしく』、男装の麗人の熱いシャンソンロックソング【オリジナル曲・freeBGM】×【シャンソン×激しいJ-ROCK】,【著作権フリーBGM】ぷるっと企画チャンネル,246,16,1,2026-06-26T07:00:38Z,PT4M33S,udh7AKPOP-w
作業用BGM 熱い,【鹿児島県】言葉は通じんけど、心は熱か｜土地のうた -Songs of the Land- #10,土地のうた -Songs of the Land-,46,3,1,2026-06-24T12:49:56Z,PT2M55S,fWhZWraCFcA
作業用BGM 熱い,未完成ドライブ｜君が残した小さな熱は消えない【2000年代アニメ風J POP ROCK】,Hikari Pop Mix,111,2,0,2026-06-24T12:00:24Z,PT3M15S,Qx4WNxrWmTM
作業用BGM 熱い,【作業用BGM】戦闘音楽 Epic Battle Music/Rock Background Music『Phoenixia』,Soothing sound Mikan,2485,113,2,2026-06-24T11:03:54Z,PT1H2M24S,dK0GkISCj5c
作業用BGM 熱い,『Be yourself』【フリーソング】激熱アニソン風J-Rockオリジナル曲【疾走・熱い・作業用BGM】,【著作権フリーBGM】ぷるっと企画チャンネル,279,7,0,2026-06-23T14:00:13Z,PT57S,8shIpGIUyBY
作業用BGM 熱い,『Be yourself』【フリーソング】激熱アニソン風J-Rockオリジナル曲【疾走・熱い・作業用BGM】,【著作権フリーBGM】ぷるっと企画チャンネル,294,9,2,2026-06-23T14:00:02Z,PT4M23S,rU8CkX3w8GQ
作業用BGM 熱い,【作業用BGM】戦闘音楽 Epic Battle Music/Rock Background Music『Phonon』,Soothing sound Mikan,2503,102,3,2026-06-22T11:39:08Z,PT1H46S,kho_gMeUQ8A
作業用BGM 熱い,青春のフェス【作業用BGM】,ASK Sound Studio,35,0,0,2026-06-22T08:00:01Z,PT5M49S,jNuVw9gxyOs
作業用BGM 熱い,ジャパレゲ 筋トレBGM🔥重低音×疲れを置いて熱を持て｜TOKYO PHONK Vol.6261-6280,TOKYO PHONK,1616,30,2,2026-06-21T19:00:32Z,PT3H35M24S,oV4YzGS0E6w
ファンタジー 戦闘 BGM,【フリーBGM】ghost dance│ノリノリ幽霊の戦闘BGM【ジャズ/スウィング/ダーク】JAZZ/swing/dance music,【フリーBGM】Two Chan【素材】,3,0,0,2026-07-21T06:00:28Z,PT2M23S,DotsbkWeOyQ
ファンタジー 戦闘 BGM,【作業用BGM】Epic Background Music 戦闘BGM/Hybrid Orchestral Battle　Rock『Voltaris』,Soothing sound Mikan,584,47,3,2026-07-20T12:20:27Z,PT1H2M3S,N1FKPVHk6i0
ファンタジー 戦闘 BGM,【疾走感抜群】激闘シーンで盛り上がる戦闘曲｜Azure Gale【フリーBGM・かっこいい・EpicBattleMusic】,戦闘音楽工房 - Epic Battle Music,260,31,2,2026-07-20T09:00:11Z,PT3M31S,Xhl1--EFU2s
ファンタジー 戦闘 BGM,FF7リバース 通常戦闘曲メドレー｜エリア戦闘BGMまとめ【作業用BGM】,とっぴーのゲーム日記,31,8,3,2026-07-20T05:00:11Z,PT30M34S,hHb4Y7S8rRk
ファンタジー 戦闘 BGM,冒険・戦闘・感動のオリジナルサウンドトラック#shorts #music #ファンタジー #BGM,夢を紡ぐ音色-Dreamwoven Melodies-,211,0,0,2026-07-19T09:29:24Z,PT41S,LEXxwSF4xns
ファンタジー 戦闘 BGM,99%勝てない敵に立ち向かう時のBGM【戦闘曲／作業用BGM／アニソン／ラスボス戦／フリーBGM】,うたの-音楽工房【FreeMusic】,107,7,0,2026-07-19T08:37:35Z,PT4M17S,qY5wc9WcEmc
ファンタジー 戦闘 BGM,【アレンジ曲】FF5 / Battle 2 -通常ボス戦闘曲-【ゲーム音楽】,うみにょのゲームちゃんねる,8,0,0,2026-07-19T00:50:11Z,PT3M15S,24LPWUK8NtI
ファンタジー 戦闘 BGM,【作業用BGM／1時間】戦闘モードに入る疾走系JRPGバトルメドレー｜YutoRhythm Battle Mode Vol.2,ゆとリズム yuto-rhythm,38,2,0,2026-07-18T13:00:34Z,PT1H31S,Ai7fB6AJ1Yc
ファンタジー 戦闘 BGM,【作業用ファンタジーBGM】駆け出し冒険者の戦い - テンションが上がる王道JRPG戦闘曲集 / Rookie Adventurers in Battle【戦闘BGM】,Fantasy Echoes / 空想と癒しの音楽,52,6,1,2026-07-18T10:00:28Z,PT1H4M58S,_tWo6lZg0XE
ファンタジー 戦闘 BGM,【異世界ケルトBGM】対決【作業用BGM・リラックスBGM・睡眠用BGM・勉強用BGM】,FantaSy Celtic BGM,34,2,0,2026-07-18T09:00:10Z,PT1H33M44S,jV_YPmtvZqQ
ファンタジー 戦闘 BGM,【ダークファンタジー風アレンジ】VS赤魔寝鬼 白古魔【妖怪ウォッチBGM】,みずとの音楽研究所,1430,63,3,2026-07-17T12:00:19Z,PT2M33S,x3gykRS2PbM
ファンタジー 戦闘 BGM,【作業用BGM】Epic Background Music 戦闘BGM/Battle Egyptian Orchestral Rock『SOLARIS』,Soothing sound Mikan,1211,76,4,2026-07-17T11:31:59Z,PT1H5M15S,MLMHlO7mZmc
ファンタジー 戦闘 BGM,【ケルト行進曲】ケルト×マーチ いつでもボス戦モードアレンジ｜作業用BGM・戦闘/Battle BGM・ファンタジー/Fantasy  Music ｜ celtic｜  クマノミ version,Yggdrasil Sound Fruits | Dark Fantasy Boss BGM,2,0,0,2026-07-17T11:30:36Z,PT35M45S,6o3j19gh6HY
ファンタジー 戦闘 BGM,【フリーBGM】Henok Magik | 中世ファンタジー戦闘曲,Hareno,159,14,0,2026-07-17T10:00:19Z,PT2M25S,HhbhlYC1Olo
ファンタジー 戦闘 BGM,【戦闘BGM】黒薔薇が咲くたび死者が目を覚ます｜GOTHIC OF THE DEAD -死者に咲く黒薔薇-【フリーBGM・ゴシック・ダーク・かっこいい・作業用・ゲーム実況】,Rhymix Studio,122,11,2,2026-07-17T08:00:22Z,PT3M57S,fJiR41fEHck
ファンタジー 戦闘 BGM,【ケルト風戦闘曲】 魔剣 DÁINSLEIF（ダインスレイブ） ― The Last Banquet ―｜神すら恐れた呪われし魔剣,こころに届く歌 – 千音 / Songs That Touch Your Heart – Senne,103,7,1,2026-07-16T12:00:29Z,PT4M15S,P8ws-4SDaxQ
ファンタジー 戦闘 BGM,第1話：庭園を守る魔女 【副題：フリーBGMを作っていたらRPGゲームができてしまった『Garden Shower』】,小松崎拓美の創作工房,18,2,0,2026-07-16T10:10:42Z,PT4M59S,61X-CUEceYw
ファンタジー 戦闘 BGM,【Epic Battle BGM / Japanese Dark Fantasy】微熱｜Emotional Symphonic Rock with Piano・少しずつ心を奮い立たせる戦闘BGM,藤苑テラリウム,89,3,1,2026-07-16T09:00:29Z,PT4M35S,01dRVj-Tylw
ファンタジー 戦闘 BGM,Epic Japanese Samurai Battle Music | Dark Fantasy Boss Fight | 1 Hour BGM【妖怪討伐】,LUGAZURA,11,1,3,2026-07-16T02:42:56Z,PT1H2M20S,AgHzPox8TCg
ファンタジー 戦闘 BGM,【作業用BGM】戦闘音楽 Epic Battle Music/Rock Background Music『Sanctis』,Soothing sound Mikan,1543,76,2,2026-07-15T12:45:51Z,PT1H55S,-wb10fs8bPE
ファンタジー 戦闘 BGM,【作業用BGM】異形なる簒奪者 ボスラッシュメドレー【ラスボス戦/戦闘BGM/ダークファンタジー/モンスト/悪役/ロック/轟絶】BGMアレンジ　轟絶BGM　モンスト,クェルボ公爵,52,1,1,2026-07-15T08:00:29Z,PT1H8M48S,cWTSlEa0UZU
ファンタジー 戦闘 BGM,【作業用】異世界に没入しながら集中できるRPG戦闘BGM｜ロック・サウンド｜1時間,ししがみかつおの戦闘BGM倉庫,118,3,0,2026-07-14T11:00:37Z,PT1H1M6S,oxEoiQPAL5k
ファンタジー 戦闘 BGM,【ケルト風戦闘BGM】悪役令嬢が世界に立ち向かうときのBGM「彼女の正義」/The Justice She Believes In【AI×ラスボス戦】【ダークファンタジー】,Seagull World,2031,61,6,2026-07-14T09:42:46Z,PT3M19S,ECTIcq-jDng
ファンタジー 戦闘 BGM,【Epic Japanese Rock Battle BGM】宵神楽 -Crimson Dream Prelude- ｜ 夏祭り×祭囃子×和風ダークファンタジー、ギターとピアノが紡ぐ幻想戦闘曲,藤苑テラリウム,123,10,0,2026-07-14T09:00:07Z,PT4M5S,HloEjfs1mLA
ファンタジー 戦闘 BGM,[Playlist] 気分がアガる作業用戦闘BGM,Hareno,430,15,0,2026-07-12T01:58:02Z,PT1H3M38S,IsnQUqw4rOQ
ファンタジー 戦闘 BGM,【フリーBGM】FalleN【ダークファンタジー・戦闘・ラスボス】,EigHt,18397,794,51,2026-06-29T10:25:31Z,PT3M56S,ZLPKHFhhWZk
ファンタジー 戦闘 BGM,【ケルト戦闘BGM】満月の王都を見下ろす月冠の王、黄金宮殿に下る開戦の剣｜Epic Celtic Battle Music,Celtic Battle Realm,413,13,0,2026-06-26T11:00:15Z,PT1H58M2S,ip2D2E3eRns
ファンタジー 戦闘 BGM,【BGM】虚飾なる道化 - 異形なる簒奪者 #ダーク #ダークファンタジー #ラスボス #戦闘 #ボス戦 #悪役 #轟絶 #ピエロ #道化師 #カーニバル#BGMアレンジ #モンスト #shorts,クェルボ公爵,311,3,1,2026-07-14T08:00:12Z,PT57S,NnwyJFEy2pQ
ファンタジー 戦闘 BGM,【BGM】虚飾なる道化 - 異形なる簒奪者【ダーク/ダークファンタジー/ラスボス/戦闘/ボス戦/モンスト/悪役/サーカス/轟絶/ピエロ/道化師/カーニバル】BGMアレンジ　轟絶BGM　モンスト,クェルボ公爵,108,7,1,2026-07-14T08:00:22Z,PT2M8S,z_cqTqvGF9Q
ファンタジー 戦闘 BGM,【作業用BGM】Epic Background Music 戦闘BGM/Battle Celtic Symphonic Rock『Pulver』,Soothing sound Mikan,877,54,3,2026-07-13T11:12:42Z,PT1H7M18S,X0BtlAa4XRM
ファンタジー 戦闘 BGM,【フリーBGM】終焉の女王に立ち向かう時のBGM | Queen of the Ruined Kingdom【かっこいい・戦闘・Rock】,BGM Studio Noi,352,13,4,2026-07-13T09:00:03Z,PT4M29S,3sA0jX3awGw
ファンタジー 戦闘 BGM,【BGM】強欲なる収奪 - 異形なる簒奪者 #ダーク #ダークファンタジー#ラスボス #戦闘 #ボス戦 #民族音楽 #悪役 #WorldFusion #蛇 #財宝 #轟絶 #モンスト#shorts,クェルボ公爵,366,3,1,2026-07-13T08:00:34Z,PT59S,qZzIBxOGTqg
ファンタジー 戦闘 BGM,【BGM】強欲なる収奪 - 異形なる簒奪者【ダーク/ダークファンタジー/ラスボス/戦闘/ボス戦/民族音楽/モンスト/悪役/WorldFusion/轟絶/蛇/財宝】BGMアレンジ　轟絶BGM　モンスト,クェルボ公爵,88,1,1,2026-07-13T08:00:27Z,PT3M4S,esjaiGGTD3o
ファンタジー 戦闘 BGM,【フリーBGM】最期の審判│天使・悪魔ボスの戦闘曲【エレクトロスウィング/おしゃれ/ゴシック/JAZZ】,【フリーBGM】Two Chan【素材】,98,5,0,2026-07-13T03:00:46Z,PT2M33S,EtWm-f4-j_w
ファンタジー 戦闘 BGM,重厚な戦闘曲【フリーBGM】dark orchestral BGM / Force of Darkness_2【作業用BGM・素材】 #shorts,【著作権フリーBGM】ぷるっと企画チャンネル,23,2,0,2026-07-12T14:00:14Z,PT30S,m-MYiYLHe9E
ファンタジー 戦闘 BGM,重厚な戦闘曲【フリーBGM】dark orchestral BGM / Force of Darkness_2【作業用BGM・素材】,【著作権フリーBGM】ぷるっと企画チャンネル,67,2,0,2026-07-12T13:30:03Z,PT2M58S,BHqGUcMXCdQ
ファンタジー 戦闘 BGM,【フリーBGM】『斧槍のゴシック』｜戦闘｜壮大｜ファンタジー,ナナシのゴシック! ,1253,77,10,2026-07-12T09:00:01Z,PT2M58S,CWQpURzXC3o
ファンタジー 戦闘 BGM,"🪄運命に抗う魔法少女のBGM |「魔法少女ジャンヌ」ジャズ,ピアノ,クラシック,戦闘 -作業用BGM (Royalty Free Music)",魔法少女BGMプロジェクト,101,6,0,2026-07-12T09:00:13Z,PT2M42S,sLZ2roFkPf0
ファンタジー 戦闘 BGM,【ダークファンタジーBGM】もしも『巨大な液体クリーチャー』が都市を襲撃したら…｜戦闘曲・Suno AI,ヘビくん🐍,88,4,2,2026-07-12T08:23:57Z,PT1M58S,lNiP0j255Ow
